key,value
type,bacteria
x,2968.016356922342
y,2923.6168309273194
r,9.0
angle,-1.4239656002476448
vx,41.78870869573581
vy,-282.5564233533936
energy,361.3968117135931
age,9.885866666666708
brain_sizes,"[24, 32, 16, 8, 2]"
brain_version,225
