key,value
type,bacteria
x,3104.219114628852
y,2796.198094437377
r,9.0
angle,1.9720041069323906
vx,-109.68842857760637
vy,258.5664119960931
energy,123.68370790532583
age,6.905999999999989
brain_sizes,"[24, 32, 16, 8, 2]"
brain_version,162
